overhead,unrecovered,run,Method,RS,#Chunks,File
1,12,4,Raptor (baseline),2,19,0040-txt.txt
7,15,0,High Entropy - evo,2,19,0040-txt.txt
3,16,1,High Entropy - evo,2,19,0040-txt.txt
4,11,2,High Entropy - evo,2,19,0040-txt.txt
8,15,3,High Entropy - evo,2,19,0040-txt.txt
4,17,4,High Entropy - evo,2,19,0040-txt.txt
4,17,0,Raptor (baseline),3,20,0040-txt.txt
2,8,1,Raptor (baseline),3,20,0040-txt.txt
1,14,2,Raptor (baseline),3,20,0040-txt.txt
13,8,3,Raptor (baseline),3,20,0040-txt.txt
1,14,4,Raptor (baseline),3,20,0040-txt.txt
4,17,0,High Entropy - evo,3,20,0040-txt.txt
3,18,1,High Entropy - evo,3,20,0040-txt.txt
3,13,2,High Entropy - evo,3,20,0040-txt.txt
2,16,3,High Entropy - evo,3,20,0040-txt.txt
2,14,4,High Entropy - evo,3,20,0040-txt.txt
2,18,0,High Entropy - evo,4,21,0040-txt.txt
1,13,1,High Entropy - evo,4,21,0040-txt.txt
2,10,2,High Entropy - evo,4,21,0040-txt.txt
2,10,3,High Entropy - evo,4,21,0040-txt.txt
1,11,4,High Entropy - evo,4,21,0040-txt.txt
3,9,0,Raptor (baseline),4,21,0040-txt.txt
0,0,1,Raptor (baseline),4,21,0040-txt.txt
4,17,2,Raptor (baseline),4,21,0040-txt.txt
2,18,3,Raptor (baseline),4,21,0040-txt.txt
3,21,4,Raptor (baseline),4,21,0040-txt.txt
2,18,0,High Entropy - evo,2,28,0044-txt.txt
3,11,1,High Entropy - evo,2,28,0044-txt.txt
1,15,2,High Entropy - evo,2,28,0044-txt.txt
5,24,3,High Entropy - evo,2,28,0044-txt.txt
3,12,4,High Entropy - evo,2,28,0044-txt.txt
0,0,0,Raptor (baseline),2,28,0044-txt.txt
1,17,1,Raptor (baseline),2,28,0044-txt.txt
1,11,2,Raptor (baseline),2,28,0044-txt.txt
3,23,3,Raptor (baseline),2,28,0044-txt.txt
3,10,4,Raptor (baseline),2,28,0044-txt.txt
0,0,0,High Entropy - evo,3,29,0044-txt.txt
2,22,1,High Entropy - evo,3,29,0044-txt.txt
0,0,2,High Entropy - evo,3,29,0044-txt.txt
0,0,3,High Entropy - evo,3,29,0044-txt.txt
2,16,4,High Entropy - evo,3,29,0044-txt.txt
0,0,0,Raptor (baseline),3,29,0044-txt.txt
1,14,1,Raptor (baseline),3,29,0044-txt.txt
0,0,2,Raptor (baseline),3,29,0044-txt.txt
1,19,3,Raptor (baseline),3,29,0044-txt.txt
1,14,4,Raptor (baseline),3,29,0044-txt.txt
2,23,0,Raptor (baseline),4,30,0044-txt.txt
3,25,1,Raptor (baseline),4,30,0044-txt.txt
2,17,2,Raptor (baseline),4,30,0044-txt.txt
2,24,3,Raptor (baseline),4,30,0044-txt.txt
1,14,4,Raptor (baseline),4,30,0044-txt.txt
2,11,0,High Entropy - evo,4,30,0044-txt.txt
2,13,1,High Entropy - evo,4,30,0044-txt.txt
0,0,2,High Entropy - evo,4,30,0044-txt.txt
0,0,3,High Entropy - evo,4,30,0044-txt.txt
0,0,4,High Entropy - evo,4,30,0044-txt.txt
1,31,0,High Entropy - evo,2,69,0043-txt.txt
5,36,1,High Entropy - evo,2,69,0043-txt.txt
1,37,2,High Entropy - evo,2,69,0043-txt.txt
0,0,3,High Entropy - evo,2,69,0043-txt.txt
0,0,4,High Entropy - evo,2,69,0043-txt.txt
1,47,0,Raptor (baseline),2,69,0043-txt.txt
5,57,1,Raptor (baseline),2,69,0043-txt.txt
2,54,2,Raptor (baseline),2,69,0043-txt.txt
1,43,3,Raptor (baseline),2,69,0043-txt.txt
0,0,4,Raptor (baseline),2,69,0043-txt.txt
2,33,0,Raptor (baseline),3,72,0043-txt.txt
3,53,1,Raptor (baseline),3,72,0043-txt.txt
1,28,2,Raptor (baseline),3,72,0043-txt.txt
2,47,3,Raptor (baseline),3,72,0043-txt.txt
0,0,4,Raptor (baseline),3,72,0043-txt.txt
1,33,0,High Entropy - evo,3,72,0043-txt.txt
4,28,1,High Entropy - evo,3,72,0043-txt.txt
0,0,2,High Entropy - evo,3,72,0043-txt.txt
4,36,3,High Entropy - evo,3,72,0043-txt.txt
0,0,4,High Entropy - evo,3,72,0043-txt.txt
2,32,0,High Entropy - evo,4,76,0043-txt.txt
0,0,1,High Entropy - evo,4,76,0043-txt.txt
0,0,2,High Entropy - evo,4,76,0043-txt.txt
5,35,3,High Entropy - evo,4,76,0043-txt.txt
3,65,4,High Entropy - evo,4,76,0043-txt.txt
0,0,0,Raptor (baseline),4,76,0043-txt.txt
1,52,1,Raptor (baseline),4,76,0043-txt.txt
1,35,2,Raptor (baseline),4,76,0043-txt.txt
0,0,3,Raptor (baseline),4,76,0043-txt.txt
2,41,4,Raptor (baseline),4,76,0043-txt.txt
4,70,0,High Entropy - evo,2,94,0042-txt.txt
5,47,1,High Entropy - evo,2,94,0042-txt.txt
1,50,2,High Entropy - evo,2,94,0042-txt.txt
6,44,3,High Entropy - evo,2,94,0042-txt.txt
0,0,4,High Entropy - evo,2,94,0042-txt.txt
5,32,0,Raptor (baseline),2,94,0042-txt.txt
0,0,1,Raptor (baseline),2,94,0042-txt.txt
1,53,2,Raptor (baseline),2,94,0042-txt.txt
1,78,3,Raptor (baseline),2,94,0042-txt.txt
2,65,4,Raptor (baseline),2,94,0042-txt.txt
5,60,0,Raptor (baseline),3,98,0042-txt.txt
2,47,1,Raptor (baseline),3,98,0042-txt.txt
3,60,2,Raptor (baseline),3,98,0042-txt.txt
1,48,3,Raptor (baseline),3,98,0042-txt.txt
0,0,4,Raptor (baseline),3,98,0042-txt.txt
1,74,0,High Entropy - evo,3,98,0042-txt.txt
1,53,1,High Entropy - evo,3,98,0042-txt.txt
5,75,2,High Entropy - evo,3,98,0042-txt.txt
2,84,3,High Entropy - evo,3,98,0042-txt.txt
3,79,4,High Entropy - evo,3,98,0042-txt.txt
1,61,0,Raptor (baseline),4,103,0042-txt.txt
2,51,1,Raptor (baseline),4,103,0042-txt.txt
0,0,2,Raptor (baseline),4,103,0042-txt.txt
0,0,3,Raptor (baseline),4,103,0042-txt.txt
5,25,4,Raptor (baseline),4,103,0042-txt.txt
0,0,0,High Entropy - evo,4,103,0042-txt.txt
5,49,1,High Entropy - evo,4,103,0042-txt.txt
0,0,2,High Entropy - evo,4,103,0042-txt.txt
1,53,3,High Entropy - evo,4,103,0042-txt.txt
1,74,4,High Entropy - evo,4,103,0042-txt.txt
0,0,0,Raptor (baseline),2,578,0023-xlsx.xlsx
1,294,1,Raptor (baseline),2,578,0023-xlsx.xlsx
3,297,2,Raptor (baseline),2,578,0023-xlsx.xlsx
1,291,3,Raptor (baseline),2,578,0023-xlsx.xlsx
1,310,4,Raptor (baseline),2,578,0023-xlsx.xlsx
3,272,0,High Entropy - evo,2,578,0023-xlsx.xlsx
1,291,1,High Entropy - evo,2,578,0023-xlsx.xlsx
1,293,2,High Entropy - evo,2,578,0023-xlsx.xlsx
2,441,3,High Entropy - evo,2,578,0023-xlsx.xlsx
0,0,4,High Entropy - evo,2,578,0023-xlsx.xlsx
1,460,0,High Entropy - evo,3,604,0023-xlsx.xlsx
2,302,1,High Entropy - evo,3,604,0023-xlsx.xlsx
1,290,2,High Entropy - evo,3,604,0023-xlsx.xlsx
2,306,3,High Entropy - evo,3,604,0023-xlsx.xlsx
2,322,4,High Entropy - evo,3,604,0023-xlsx.xlsx
1,296,0,Raptor (baseline),3,604,0023-xlsx.xlsx
2,389,1,Raptor (baseline),3,604,0023-xlsx.xlsx
5,419,2,Raptor (baseline),3,604,0023-xlsx.xlsx
4,469,3,Raptor (baseline),3,604,0023-xlsx.xlsx
3,380,4,Raptor (baseline),3,604,0023-xlsx.xlsx
0,0,0,High Entropy - evo,4,633,0023-xlsx.xlsx
0,0,1,High Entropy - evo,4,633,0023-xlsx.xlsx
1,292,2,High Entropy - evo,4,633,0023-xlsx.xlsx
1,314,3,High Entropy - evo,4,633,0023-xlsx.xlsx
3,317,4,High Entropy - evo,4,633,0023-xlsx.xlsx
1,191,0,Raptor (baseline),4,633,0023-xlsx.xlsx
2,252,1,Raptor (baseline),4,633,0023-xlsx.xlsx
6,291,2,Raptor (baseline),4,633,0023-xlsx.xlsx
6,483,3,Raptor (baseline),4,633,0023-xlsx.xlsx
1,280,4,Raptor (baseline),4,633,0023-xlsx.xlsx
5,599,0,Raptor (baseline),2,651,0024-xlsx.xlsx
3,336,1,Raptor (baseline),2,651,0024-xlsx.xlsx
4,469,2,Raptor (baseline),2,651,0024-xlsx.xlsx
2,498,3,Raptor (baseline),2,651,0024-xlsx.xlsx
3,467,4,Raptor (baseline),2,651,0024-xlsx.xlsx
1,325,0,High Entropy - evo,2,651,0024-xlsx.xlsx
1,330,1,High Entropy - evo,2,651,0024-xlsx.xlsx
6,325,2,High Entropy - evo,2,651,0024-xlsx.xlsx
0,0,3,High Entropy - evo,2,651,0024-xlsx.xlsx
1,317,4,High Entropy - evo,2,651,0024-xlsx.xlsx
2,532,0,Raptor (baseline),3,681,0024-xlsx.xlsx
3,391,1,Raptor (baseline),3,681,0024-xlsx.xlsx
5,536,2,Raptor (baseline),3,681,0024-xlsx.xlsx
1,505,3,Raptor (baseline),3,681,0024-xlsx.xlsx
5,605,4,Raptor (baseline),3,681,0024-xlsx.xlsx
5,650,0,High Entropy - evo,3,681,0024-xlsx.xlsx
2,502,1,High Entropy - evo,3,681,0024-xlsx.xlsx
6,339,2,High Entropy - evo,3,681,0024-xlsx.xlsx
0,0,3,High Entropy - evo,3,681,0024-xlsx.xlsx
1,514,4,High Entropy - evo,3,681,0024-xlsx.xlsx
0,0,0,High Entropy - evo,4,713,0024-xlsx.xlsx
1,343,1,High Entropy - evo,4,713,0024-xlsx.xlsx
1,541,2,High Entropy - evo,4,713,0024-xlsx.xlsx
1,348,3,High Entropy - evo,4,713,0024-xlsx.xlsx
1,344,4,High Entropy - evo,4,713,0024-xlsx.xlsx
9,565,0,Raptor (baseline),4,713,0024-xlsx.xlsx
1,390,1,Raptor (baseline),4,713,0024-xlsx.xlsx
2,338,2,Raptor (baseline),4,713,0024-xlsx.xlsx
3,326,3,Raptor (baseline),4,713,0024-xlsx.xlsx
0,0,4,Raptor (baseline),4,713,0024-xlsx.xlsx
8,4573,0,Raptor (baseline),2,5640,0022-xlsx.xlsx
9,4669,1,Raptor (baseline),2,5640,0022-xlsx.xlsx
4,4365,2,Raptor (baseline),2,5640,0022-xlsx.xlsx
6,4013,3,Raptor (baseline),2,5640,0022-xlsx.xlsx
4,4638,4,Raptor (baseline),2,5640,0022-xlsx.xlsx
1,4210,0,High Entropy - evo,2,5640,0022-xlsx.xlsx
3,2843,1,High Entropy - evo,2,5640,0022-xlsx.xlsx
0,0,2,High Entropy - evo,2,5640,0022-xlsx.xlsx
0,0,3,High Entropy - evo,2,5640,0022-xlsx.xlsx
0,0,4,High Entropy - evo,2,5640,0022-xlsx.xlsx
5,2951,0,High Entropy - evo,3,5896,0022-xlsx.xlsx
3,3028,1,High Entropy - evo,3,5896,0022-xlsx.xlsx
0,0,2,High Entropy - evo,3,5896,0022-xlsx.xlsx
0,0,3,High Entropy - evo,3,5896,0022-xlsx.xlsx
2,4415,4,High Entropy - evo,3,5896,0022-xlsx.xlsx
6,5338,0,Raptor (baseline),3,5896,0022-xlsx.xlsx
5,4921,1,Raptor (baseline),3,5896,0022-xlsx.xlsx
20,5438,2,Raptor (baseline),3,5896,0022-xlsx.xlsx
7,5407,3,Raptor (baseline),3,5896,0022-xlsx.xlsx
4,5032,4,Raptor (baseline),3,5896,0022-xlsx.xlsx
3,3510,1,High Entropy - evo,2,6973,0030-zip-highcompress.zip
4,3516,2,High Entropy - evo,2,6973,0030-zip-highcompress.zip
1,3523,3,High Entropy - evo,2,6973,0030-zip-highcompress.zip
3,3528,4,High Entropy - evo,2,6973,0030-zip-highcompress.zip
7,6020,0,Raptor (baseline),3,7290,0030-zip-highcompress.zip
8,6126,1,Raptor (baseline),3,7290,0030-zip-highcompress.zip
10,5855,2,Raptor (baseline),3,7290,0030-zip-highcompress.zip
6,5893,3,Raptor (baseline),3,7290,0030-zip-highcompress.zip
10,6677,4,Raptor (baseline),3,7290,0030-zip-highcompress.zip
0,0,0,High Entropy - evo,3,7290,0030-zip-highcompress.zip
0,0,1,High Entropy - evo,3,7290,0030-zip-highcompress.zip
0,0,2,High Entropy - evo,3,7290,0030-zip-highcompress.zip
1,3606,3,High Entropy - evo,3,7290,0030-zip-highcompress.zip
0,0,4,High Entropy - evo,3,7290,0030-zip-highcompress.zip
0,0,0,High Entropy - evo,4,7637,0030-zip-highcompress.zip
0,0,1,High Entropy - evo,4,7637,0030-zip-highcompress.zip
1,3799,2,High Entropy - evo,4,7637,0030-zip-highcompress.zip
1,3808,3,High Entropy - evo,4,7637,0030-zip-highcompress.zip
3,5734,4,High Entropy - evo,4,7637,0030-zip-highcompress.zip
4,5519,0,Raptor (baseline),4,7637,0030-zip-highcompress.zip
0,0,1,Raptor (baseline),4,7637,0030-zip-highcompress.zip
3,6552,2,Raptor (baseline),4,7637,0030-zip-highcompress.zip
8,6576,3,Raptor (baseline),4,7637,0030-zip-highcompress.zip
11,7213,4,Raptor (baseline),4,7637,0030-zip-highcompress.zip
4,12166,0,Raptor (baseline),2,15761,0033-zip-highcompress.zip
7,5400,0,High Entropy - evo,4,6177,0022-xlsx.xlsx
1,3090,1,High Entropy - evo,4,6177,0022-xlsx.xlsx
1,3023,2,High Entropy - evo,4,6177,0022-xlsx.xlsx
0,0,3,High Entropy - evo,4,6177,0022-xlsx.xlsx
1,3040,4,High Entropy - evo,4,6177,0022-xlsx.xlsx
1,2949,0,Raptor (baseline),4,6177,0022-xlsx.xlsx
6,5267,1,Raptor (baseline),4,6177,0022-xlsx.xlsx
10,5101,2,Raptor (baseline),4,6177,0022-xlsx.xlsx
3,5050,3,Raptor (baseline),4,6177,0022-xlsx.xlsx
6,5061,4,Raptor (baseline),4,6177,0022-xlsx.xlsx
8,6114,0,Raptor (baseline),2,6973,0030-zip-highcompress.zip
7,6346,1,Raptor (baseline),2,6973,0030-zip-highcompress.zip
9,6221,2,Raptor (baseline),2,6973,0030-zip-highcompress.zip
19,5529,3,Raptor (baseline),2,6973,0030-zip-highcompress.zip
2,5572,4,Raptor (baseline),2,6973,0030-zip-highcompress.zip
5,6713,0,Raptor (baseline),3,7290,0030-zip-highcompress.zip
0,0,1,Raptor (baseline),3,7290,0030-zip-highcompress.zip
8,5871,2,Raptor (baseline),3,7290,0030-zip-highcompress.zip
3,6135,3,Raptor (baseline),3,7290,0030-zip-highcompress.zip
11,6194,4,Raptor (baseline),3,7290,0030-zip-highcompress.zip
2,11854,0,High Entropy - evo,2,15761,0033-zip-highcompress.zip
0,0,1,High Entropy - evo,2,15761,0033-zip-highcompress.zip
4,7990,2,High Entropy - evo,2,15761,0033-zip-highcompress.zip
4,7891,3,High Entropy - evo,2,15761,0033-zip-highcompress.zip
5,11813,4,High Entropy - evo,2,15761,0033-zip-highcompress.zip
11,12900,0,Raptor,2,15761,0033-zip-highcompress.zip
9,13783,1,Raptor,2,15761,0033-zip-highcompress.zip
9,13963,2,Raptor,2,15761,0033-zip-highcompress.zip
15,13915,3,Raptor,2,15761,0033-zip-highcompress.zip
11,13965,4,Raptor,2,15761,0033-zip-highcompress.zip
16,14074,0,Raptor (baseline),3,16478,0033-zip-highcompress.zip
22,14628,1,Raptor (baseline),3,16478,0033-zip-highcompress.zip
11,14765,2,Raptor (baseline),3,16478,0033-zip-highcompress.zip
3,8553,0,High Entropy - evo,4,17262,0033-zip-highcompress.zip
11,14895,3,Raptor (baseline),3,16478,0033-zip-highcompress.zip
20,12070,4,Raptor (baseline),3,16478,0033-zip-highcompress.zip
1,8616,1,High Entropy - evo,4,17262,0033-zip-highcompress.zip
0,0,0,High Entropy - evo,3,16478,0033-zip-highcompress.zip
30,44673,0,Raptor,2,51777,0021-xlsx.xlsx
2,12356,1,High Entropy - evo,3,16478,0033-zip-highcompress.zip
0,0,2,High Entropy - evo,4,17262,0033-zip-highcompress.zip
33,48976,0,Raptor,3,54131,0021-xlsx.xlsx
1,8242,2,High Entropy - evo,3,16478,0033-zip-highcompress.zip
1,8704,3,High Entropy - evo,4,17262,0033-zip-highcompress.zip
1,8152,3,High Entropy - evo,3,16478,0033-zip-highcompress.zip
2,7942,0,Low Entropy - evo,2,15761,0033-zip-highcompress.zip
0,0,4,High Entropy - evo,4,17262,0033-zip-highcompress.zip
9,15985,0,Raptor (baseline),4,17262,0033-zip-highcompress.zip
34,46459,1,Raptor,2,51777,0021-xlsx.xlsx
9,13,0,Low Entropy - evo,4,13,0041-txt.txt
11,12,1,Low Entropy - evo,4,13,0041-txt.txt
13,13,2,Low Entropy - evo,4,13,0041-txt.txt
11,13,3,Low Entropy - evo,4,13,0041-txt.txt
6,13,4,Low Entropy - evo,4,13,0041-txt.txt
7,15544,3,Raptor (baseline),4,17262,0033-zip-highcompress.zip
13,13558,0,Raptor,3,16478,0033-zip-highcompress.zip
7,13191,4,Raptor (baseline),4,17262,0033-zip-highcompress.zip
13,14685,1,Raptor,3,16478,0033-zip-highcompress.zip
16,13932,2,Raptor,3,16478,0033-zip-highcompress.zip
15,14284,3,Raptor,3,16478,0033-zip-highcompress.zip
21,48036,1,Raptor,3,54131,0021-xlsx.xlsx
0,0,1,Low Entropy - evo,2,15761,0033-zip-highcompress.zip
11,13434,4,Raptor,3,16478,0033-zip-highcompress.zip
5,7816,2,Low Entropy - evo,2,15761,0033-zip-highcompress.zip
3,7919,3,Low Entropy - evo,2,15761,0033-zip-highcompress.zip
0,0,4,Low Entropy - evo,2,15761,0033-zip-highcompress.zip
34,46253,2,Raptor,2,51777,0021-xlsx.xlsx
29,45193,0,Raptor,2,50155,0020-xlsx.xlsx
31,48419,2,Raptor,3,54131,0021-xlsx.xlsx
30,44623,0,Raptor (baseline),2,50155,0020-xlsx.xlsx
28,48001,0,Raptor (baseline),3,52435,0020-xlsx.xlsx
40,48092,0,Raptor (baseline),4,54932,0020-xlsx.xlsx
31,43805,1,Raptor (baseline),2,50155,0020-xlsx.xlsx
29,46924,1,Raptor (baseline),3,52435,0020-xlsx.xlsx
38,49480,1,Raptor (baseline),4,54932,0020-xlsx.xlsx
23,45452,2,Raptor (baseline),2,50155,0020-xlsx.xlsx
38,45817,2,Raptor (baseline),3,52435,0020-xlsx.xlsx
39,49221,2,Raptor (baseline),4,54932,0020-xlsx.xlsx
26,45932,3,Raptor (baseline),2,50155,0020-xlsx.xlsx
33,46413,3,Raptor (baseline),3,52435,0020-xlsx.xlsx
35,44312,4,Raptor (baseline),2,50155,0020-xlsx.xlsx
20,50134,3,Raptor (baseline),4,54932,0020-xlsx.xlsx
39,45220,4,Raptor (baseline),3,52435,0020-xlsx.xlsx
26,47981,0,Raptor (baseline),2,51777,0021-xlsx.xlsx
34,47001,4,Raptor (baseline),4,54932,0020-xlsx.xlsx
26,47392,1,Raptor (baseline),2,51777,0021-xlsx.xlsx
28,47115,2,Raptor (baseline),2,51777,0021-xlsx.xlsx
31,45726,3,Raptor (baseline),2,51777,0021-xlsx.xlsx
0,0,0,Low Entropy - evo,2,50155,0020-xlsx.xlsx
1,25896,0,High Entropy - evo,2,51777,0021-xlsx.xlsx
29,47036,4,Raptor (baseline),2,51777,0021-xlsx.xlsx
3,26386,0,High Entropy - evo,3,52435,0020-xlsx.xlsx
701,88585,0,Raptor (baseline),2,99559,0014-bmp.bmp
0,0,0,High Entropy - evo,3,54131,0021-xlsx.xlsx
1,27402,0,High Entropy - evo,4,54932,0020-xlsx.xlsx
2,28511,0,High Entropy - evo,4,56708,0021-xlsx.xlsx
1203,84840,0,Raptor (baseline),2,93894,0034-zip-highcompress.zip
0,0,0,Low Entropy - evo,3,52435,0020-xlsx.xlsx
0,0,1,Low Entropy - evo,2,50155,0020-xlsx.xlsx
2,45277,1,High Entropy - evo,2,51777,0021-xlsx.xlsx
1,49617,0,Low Entropy - evo,4,56708,0021-xlsx.xlsx
0,0,1,High Entropy - evo,3,52435,0020-xlsx.xlsx
358,83890,1,Raptor (baseline),2,93894,0034-zip-highcompress.zip
3,26960,1,High Entropy - evo,3,54131,0021-xlsx.xlsx
970,95429,0,Raptor (baseline),3,104084,0014-bmp.bmp
1,27423,1,High Entropy - evo,4,54932,0020-xlsx.xlsx
5,42646,1,High Entropy - evo,4,56708,0021-xlsx.xlsx
64,82932,2,Raptor (baseline),2,93894,0034-zip-highcompress.zip
1,39399,1,Low Entropy - evo,3,52435,0020-xlsx.xlsx
6,24968,0,High Entropy - evo,2,50155,0020-xlsx.xlsx
1,25792,0,Low Entropy - evo,2,51777,0021-xlsx.xlsx
16,12,0,Low Entropy - evo,2,12,0041-txt.txt
19,12,1,Low Entropy - evo,2,12,0041-txt.txt
17,12,2,Low Entropy - evo,2,12,0041-txt.txt
15,12,3,Low Entropy - evo,2,12,0041-txt.txt
20,12,4,Low Entropy - evo,2,12,0041-txt.txt
18,8,0,Low Entropy - evo,3,12,0041-txt.txt
15,12,1,Low Entropy - evo,3,12,0041-txt.txt
16,12,2,Low Entropy - evo,3,12,0041-txt.txt
19,10,3,Low Entropy - evo,3,12,0041-txt.txt
14,12,4,Low Entropy - evo,3,12,0041-txt.txt
2,40634,0,Low Entropy - evo,3,54131,0021-xlsx.xlsx
1,41177,0,Low Entropy - evo,4,54932,0020-xlsx.xlsx
0,0,0,Low Entropy - evo,3,52435,0020-xlsx.xlsx
0,0,1,High Entropy - evo,2,50155,0020-xlsx.xlsx
0,0,1,Low Entropy - evo,2,51777,0021-xlsx.xlsx
0,0,1,Low Entropy - evo,3,54131,0021-xlsx.xlsx
0,0,1,Low Entropy - evo,4,54932,0020-xlsx.xlsx
0,0,2,High Entropy - evo,2,50155,0020-xlsx.xlsx
2,39015,2,Low Entropy - evo,2,51777,0021-xlsx.xlsx
